timestamp,beacon_id,rssi,channel,x_true,y_true,noise_flag
0.0,B01,-67.32,37,2.0,2.0,none
0.0,B02,-79.19,37,2.0,2.0,none
0.0,B03,-82.77,37,2.0,2.0,none
0.0,B04,-80.09,37,2.0,2.0,none
0.0,B05,-83.73,37,2.0,2.0,none
0.0,B06,-85.74,37,2.0,2.0,none
0.1,B01,-72.88,38,2.139,2.0,multipath
0.1,B02,-82.22,38,2.139,2.0,none
0.1,B03,-84.19,38,2.139,2.0,none
0.1,B04,-82.25,38,2.139,2.0,none
0.1,B05,-80.8,38,2.139,2.0,none
0.1,B06,-86.84,38,2.139,2.0,none
0.2,B01,-77.23,39,2.278,2.0,multipath
0.2,B02,-78.2,39,2.278,2.0,none
0.2,B03,-83.8,39,2.278,2.0,none
0.2,B04,-81.67,39,2.278,2.0,none
0.2,B05,-78.31,39,2.278,2.0,none
0.2,B06,-83.45,39,2.278,2.0,none
0.3,B01,-70.21,37,2.417,2.0,none
0.3,B02,-75.36,37,2.417,2.0,none
0.3,B03,-83.81,37,2.417,2.0,none
0.3,B04,-79.62,37,2.417,2.0,none
0.3,B05,-81.11,37,2.417,2.0,none
0.3,B06,-82.24,37,2.417,2.0,none
0.4,B01,-68.82,38,2.556,2.0,none
0.4,B02,-76.48,38,2.556,2.0,none
0.4,B03,-85.05,38,2.556,2.0,none
0.4,B04,-77.48,38,2.556,2.0,none
0.4,B05,-83.56,38,2.556,2.0,none
0.4,B06,-83.77,38,2.556,2.0,none
0.5,B01,-70.44,39,2.695,2.0,none
0.5,B02,-74.07,39,2.695,2.0,none
0.5,B03,-84.48,39,2.695,2.0,none
0.5,B04,-79.8,39,2.695,2.0,none
0.5,B05,-81.71,39,2.695,2.0,none
0.5,B06,-84.31,39,2.695,2.0,none
0.6,B01,-70.2,37,2.834,2.0,none
0.6,B02,-76.45,37,2.834,2.0,none
0.6,B03,-88.68,37,2.834,2.0,multipath
0.6,B04,-78.0,37,2.834,2.0,none
0.6,B05,-78.7,37,2.834,2.0,none
0.6,B06,-83.8,37,2.834,2.0,none
0.7,B01,-69.39,38,2.973,2.0,none
0.7,B02,-80.34,38,2.973,2.0,none
0.7,B03,-85.48,38,2.973,2.0,none
0.7,B04,-74.88,38,2.973,2.0,none
0.7,B05,-81.99,38,2.973,2.0,none
0.7,B06,-83.92,38,2.973,2.0,none
0.8,B01,-70.77,39,3.112,2.0,none
0.8,B02,-75.07,39,3.112,2.0,none
0.8,B03,-83.77,39,3.112,2.0,none
0.8,B04,-81.51,39,3.112,2.0,none
0.8,B05,-82.4,39,3.112,2.0,none
0.8,B06,-84.47,39,3.112,2.0,none
0.9,B01,-71.82,37,3.251,2.0,none
0.9,B02,-79.95,37,3.251,2.0,none
0.9,B03,-82.82,37,3.251,2.0,none
0.9,B04,-77.74,37,3.251,2.0,none
0.9,B05,-79.12,37,3.251,2.0,none
0.9,B06,-83.25,37,3.251,2.0,none
1.0,B01,-73.97,38,3.39,2.0,none
1.0,B02,-72.9,38,3.39,2.0,none
1.0,B03,-84.02,38,3.39,2.0,none
1.0,B04,-81.42,38,3.39,2.0,none
1.0,B05,-81.66,38,3.39,2.0,none
1.0,B06,-86.34,38,3.39,2.0,none
1.1,B01,-73.72,39,3.529,2.0,none
1.1,B02,-75.92,39,3.529,2.0,none
1.1,B03,-83.37,39,3.529,2.0,none
1.1,B04,-80.16,39,3.529,2.0,none
1.1,B05,-80.5,39,3.529,2.0,none
1.1,B06,-85.3,39,3.529,2.0,none
1.2,B01,-73.03,37,3.668,2.0,none
1.2,B02,-76.79,37,3.668,2.0,none
1.2,B03,-82.65,37,3.668,2.0,none
1.2,B04,-82.46,37,3.668,2.0,none
1.2,B05,-81.73,37,3.668,2.0,none
1.2,B06,-83.17,37,3.668,2.0,none
1.3,B01,-71.53,38,3.807,2.0,none
1.3,B02,-74.36,38,3.807,2.0,none
